hex_number,type,q,r
1,surface,0,1
2,surface,1,0
3,surface,2,-1
4,surface,0,2
5,blocked,1,1
6,tomb,2,0
7,blocked,3,-1
8,surface,4,-2
9,surface,0,3
10,tomb,1,2
11,tomb,2,1
12,tomb,3,0
13,tomb,4,-1
14,surface,5,-2
15,blocked,0,4
16,tomb,1,3
17,tomb,2,2
18,tomb,3,1
19,tomb,4,0
20,surface,5,-1
21,surface,0,5
22,tomb,1,4
23,tomb,2,3
24,tomb,3,2
25,blocked,4,1
26,surface,5,0
27,surface,0,6
28,tomb,1,5
29,tomb,2,4
30,tomb,3,3
31,tomb,4,2
32,surface,5,1
33,surface,0,7
34,tomb,1,6
35,blocked,2,5
36,tomb,3,4
37,tomb,4,3
38,surface,5,2
39,surface,0,8
40,blocked,1,7
41,tomb,2,6
42,tomb,3,5
43,tomb,4,4
44,blocked,5,3
45,surface,1,8
46,surface,2,7
47,tomb,3,6
48,tomb,4,5
49,surface,5,4
50,surface,3,7
51,surface,4,6
52,surface,5,5
