hex_number,type,q,r
1,surface,0,1
2,blocked,1,0
3,surface,2,-1
4,surface,3,-2
5,surface,0,2
6,tomb,1,1
7,tomb,2,0
8,tomb,3,-1
9,surface,4,-2
10,blocked,0,3
11,surface,1,2
12,tomb,2,1
13,tomb,3,0
14,surface,4,-1
15,surface,0,4
16,tomb,1,3
17,surface,2,2
18,tomb,3,1
19,surface,4,0
20,surface,0,5
21,tomb,1,4
22,tomb,2,3
23,surface,3,2
24,blocked,4,1
25,blocked,0,6
26,tomb,1,5
27,tomb,2,4
28,tomb,3,3
29,surface,4,2
30,surface,1,6
31,tomb,2,5
32,tomb,3,4
33,surface,4,3
34,surface,2,6
35,surface,3,5
36,blocked,4,4
